β,110000
γ,110110
δ,100110
ζ,101011
θ,100111
κ,101000
λ,111000
μ,101100
ν,101110
ξ,101101
π,111100
ρ,111010
σ,011100
ς,011100
τ,011110
φ,110100
χ,110010
ψ,111101
